linux-firmware-atheros 20260519-1
linux-firmware-broadcom 20260519-1
linux-firmware-cirrus 20260519-1
linux-firmware-intel 20260519-1
linux-firmware-mediatek 20260519-1
linux-firmware-nvidia 20260519-1
linux-firmware-other 20260519-1
linux-firmware-radeon 20260519-1
linux-firmware-realtek 20260519-1
linux-firmware-whence 20260519-1
linux-headers 7.0.11.arch1-1
lksctp-tools 1.0.21-1
llhttp 9.3.1-1
llvm-libs 22.1.6-1
llvm20-libs 20.1.8-1
llvm21-libs 21.1.8-1
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
lsd 1.2.0-2
lsof 4.99.6-1
lua 5.5.0-2
lua51-lpeg 1.1.0-5
lua54 5.4.8-6
lua54-lpeg 1.1.0-5
luajit 2.1.1780076327+b925b3e-1
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-2
make 4.4.1-3
man-db 2.13.1-1
man-pages 6.18-1
mbedtls 3.6.5-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
mesa 1:26.1.2-1
meson 1.11.1-3
milou 6.6.5-1
minizip 1:1.3.2-3
mkinitcpio 41-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.5-1
mpv 1:0.41.0-3
msgpack-c 7.0.1-1
mtdev 1.1.7-1
mujs 1.3.9-1
muparser 2.3.5-2
ncurses 6.6-2
ndctl 84-1
neovim 0.12.2-1
netavark 1.17.2-2
nettle 4.0-1
network-manager-applet 1.36.0-2
networkmanager 1.56.1-1
nftables 1:1.1.6-3
ninja 1.13.2-3
nm-connection-editor 1.36.0-2
node-gyp 12.4.0-1
nodejs 26.2.0-1
nodejs-nopt 10.0.1-1
noto-fonts 1:2026.06.01-1
noto-fonts-emoji 1:2.051-1
npm 11.16.0-1
npth 1.8-1
nspr 4.39-1
nss 3.124-1
numactl 2.0.19-1
obs-studio 32.1.2-5
ocean-sound-theme 6.6.5-1
ocl-icd 2.3.4-1
oniguruma 6.9.10-1
openal 1.25.2-1
opencode 1.17.0-1
opencore-amr 0.1.6-2
openexr 3.4.12-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.27.4-1
openssh 10.3p1-1
openssl 3.6.3-1
opus 1.6.1-1
orc 0.4.42-1
ostree 2025.7-3
otf-font-awesome 7.2.0-1
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20250719-1
pandoc-cli 3.6-42
pango 1:1.57.1-1
pangomm 2.46.4-3
parted 3.7-1
passt 2026_05_26.038c51e-1
patch 2.8-1
pcaudiolib 1.3-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.5.0-1
pdftk 3.3.3-4
perl 5.42.2-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
php 8.5.7-1
pinentry 1.3.2-2
pipewire 1:1.6.6-1
pipewire-alsa 1:1.6.6-1
pipewire-audio 1:1.6.6-1
